Группа и строка из 646 приказа;Тип продукции;ID типа продукции;Продукция;ТН ВЭД Продукции;Guid продукции;Вид продукции;ТН ВЭД Вида продукции;Guid вида продукции
Группа 4, Строка 1;Корма и кормовые добавки;2;сухая молочная сыворотка;404;8454c3f6-3e0e-fbb5-d5ae-d0dbc34b4ec1;сухая молочная сыворотка;404;dfbf63c5-612c-ea64-f781-2f2ffb855915
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;сухая молочная сыворотка (не более 1,5 мас.%);4041;2976e599-35c8-4e24-bbf0-4242cf2282fa
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;сухая молочная сыворотка (не более 1,5 мас.%);404;2976e599-35c8-4e24-bbf0-4242cf2282fa
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;масло сливочное;405;4e5a5d33-6bca-af82-3fbf-46b5754c02f3
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;кисломолочный напиток;403;bb694dcd-4d7e-3cae-f932-ab17f81d2e7b
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;сухая молочная сыворотка;404;3c267888-6bfa-fa48-5b91-16fa4ae6682f
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;сухая молочная сыворотка;404;3c267888-6bfa-fa48-5b91-16fa4ae6682f
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;молочная сыворотка;404;9b434de0-3126-2591-16ab-a15139ec6ef5
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;сырки;406;910bb0d9-e039-c427-2346-d70fe99647e0
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;жир молочный безводный;405;59e0edae-06ff-eec2-626a-8471d497af97
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;сухая пахта;403;ec622395-48c5-c886-fec5-a8ece15a19bb
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;молочная продукция;402;63113052-3bf7-3d88-d1cc-623f19ba3000
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;молоко пастеризованное;401;bf8a6e6b-8ae1-d5d9-9867-34f04047d09f
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;сливки пастеризованные;401;fcd43170-ff31-a67c-e6a4-c0fa4a225a0f
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;молоко сухое;402;84d4c8f5-afb0-be32-b3b4-fe25931c238e
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;смесь пищевая белковая на основе молочных белков Оптимилк 60;404;5a1f3996-d430-0a6c-c601-273a8f882bb4
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;молочные продукты;404;612bac84-f34e-9385-f4cf-31a0cf58edaa
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;молоко стерилизованное;401;f30ef364-429d-3158-c505-595238001a0d
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;безлактозная кисломолочная продукция;403;e08c603d-d39a-4c1a-b4d5-62e7cbb31167
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;молоко концентрированное обезжиренное;402;d0b430f4-4775-9f49-dfd4-472bb1b2310d
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;брынза;406;4555a25a-b9ce-393e-a361-2588aef22251
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;сливки;402;d6888852-dcef-3683-43bd-38ec6a9ce3c0
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;пастеризованные молоко и сливки;401;d4a6f868-e0e5-6da9-5175-44a1a0ce955b
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;молоко и сливки сгущенные;402;63bda31f-6c7c-78de-f460-93960054d258
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;йогурт;403;8563650a-c1e1-11e8-e641-179e41a60918
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;безлактозные молоко, сливки;401;463fcc44-7eeb-4782-b3c0-c42103ff768c
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;молочный жир;405;f546b8aa-15b5-3382-b6bb-0584cb0179c8
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;молоко;402;b87423db-b69c-ffe3-2338-8cb396b6a14c
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;молоко;402;b87423db-b69c-ffe3-2338-8cb396b6a14c
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;сливки сухие;402;29ca24ad-b7dd-7baa-380a-a915164c5c8a
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;сыр в ассортименте;2104, 0406;704fb6c2-d7d4-95c8-adf6-b6b4211df60c
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;белково-сывороточный концентрат;404;ab6001da-fe9d-44ac-a8b3-3e4d52547aff
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;сухое обезжиренное молоко (прочее);402;4e09f62b-d8b6-4a96-baff-35b88f6f6166
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;сливки пастеризованные;402;7c179bac-deb6-ef81-07bc-33c22eb3dc8e
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;концентрат протеинов молока;404;26fe461f-7b65-333a-b383-361a3b09b1f1
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;безлактозные молоко, сливки сгущенные;402;f152005d-7e99-4490-818f-c2443ddc5309
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;обезжиренное сухое козье молоко;402;18f6e5c2-4377-bb9d-1f21-9e7fcd9e4961
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;молоко пастеризованное;402;9540bfdd-4cd6-6f47-ae83-a32a36c36bfe
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;сырный порошок сухой;406;1183447e-49c0-944b-d538-5c5278d9ca81
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;творог;406;efc608f8-8a1e-4a17-82ff-51162babfc5e
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;молочная продукция;406;870ca299-f35d-8473-8189-0c8278fb0b78
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;молочная продукция;401;3f17af16-b77a-1d97-fe70-15d93714a9ca
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;молочная продукция;405;cafb0a2e-38c9-2510-d3e3-96cec97fd13a
Группа 4, Строка 1;Пищевые продукты;5;молоко и молочная продукция;0401-0406,1905,1517;d34504bb-7a93-e1c8-4859-339eafd97c6c;сухие молоко и сливки;402;ab41feac-d34e-c124-064c-a5bfcd9ae64a
